specie	formula	sistema_xx	status	sottogruppo	gruppo	supergruppo	famiglia	sottoclasse	classe
Pentahydroborite	CaB2O(OH)6·2H2O	Triclinic	Approved		pentahydroborite			diborates	borates
Pentlandite	Fe4.5Ni4.5S8	Cubic	Grandfathered		pentlandite	pentlandite	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Penzhinite	(Ag,Cu)4AuS4	Hexagonal	Approved		penzhinite	petzite		sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Peprossiite-(Ce)	[(Ce,La,Pr,Nd)1-x-y(Th,U)xCay](Al3O)2/3[(B4-zSiz)]O10          (x-y+z = 1/3)	Hexagonal	Redefined		peprossiite			triborates	borates
Perb?eite-(Ce)	(CaCe3)?4[AlAl2Fe2+]?4(Si2O7)(SiO4)3O(OH)2	Monoclinic	Approved		gatelite	gatelite		sorosilicates	"silicates 
[cluster]"
Perb?eite-(La)	(CaLa3)?4[AlAl2Fe2+]?4(Si2O7)(SiO4)3O(OH)2	Monoclinic	Approved		gatelite	gatelite		sorosilicates	"silicates 
[cluster]"
Perchiazziite	Co2(CO3)(OH)2	Monoclinic	Approved	malachite	malachite			carbonates	carbonates and nitrates
Percleveite-(Ce)	Ce2Si2O7	Tetragonal	Approved		percleveite	percleveite		sorosilicates	"silicates 
[cluster]"
Percleveite-(La)	La2Si2O7	Tetragonal	Approved		percleveite	percleveite		sorosilicates	"silicates 
[cluster]"
Peretaite	CaSb3+4[O4(OH)2(SO4)2]·2H2O	Monoclinic	Approved		peretaite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Perettiite-(Y)	Y3+2Mn2+4Fe2+[Si2B8O24]	Orthorhombic	Approved		perettite			borosilicates	silicates
Perhamite	Ca3Al7.7Si3P4O23.5(OH)14.1·8H2O	Trigonal	Approved		perhamite		copper	phosphates	phosphates, arsenates, vanadates
Periclase	MgO	Cubic	Grandfathered		periclase	halite	copper		oxides
Perite	Pb2+Bi3+O2Cl	Orthorhombic	Approved		nadorite		copper	oxyhalides, hydroxyhalides	halides
Perlialite	K9Na(Ca,Sr)[Al12Si24O72]·15H2O	Hexagonal	Approved	perlialite	other zeolite	zeolite		tektosilicates	"silicates 
[framework]"
Perloffite	BaMn2+2Fe3+2(PO4)3(OH)3	Monoclinic	Approved		bjarebyite			phosphates	phosphates, arsenates, vanadates
Permingeatite	Cu2CuSb5+Se4	Tetragonal	Approved		stannite		copper	sulfosalts	sulfides and sulfosalts
Perovskite	CaTiO3	Orthorhombic	Approved	perovskite	single perovskites ABX3	perovskite	copper	oxyhalides	oxides
Perraultite	NaBaMn2+4Ti2(Si2O7)2O2(OH)2F	Monoclinic	Approved		bafertisite	seidozerite		sorosilicates	"silicates 
[cluster]"
Perrierite-(Ce)	(Ce3Ca)S=4Fe2+Ti2Ti2O8(Si2O7)2	Monoclinic	Renamed		perrierite	chevkinite	copper	sorosilicates	"silicates 
[cluster]"
Perrierite-(La)	La4Fe2+Ti2Ti2O8(Si2O7)2	Monoclinic	Approved		perrierite	chevkinite	copper	sorosilicates	"silicates 
[cluster]"
Perroudite	Ag4Hg5S5I2Cl2	Orthorhombic	Approved		perroudite		copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Perryite	(Ni,Fe)16PSi5	Trigonal	Approved		perryite			metal carbides, silicides, nitrides and phosphides	elements
Pertlikite	K2Fe2+2Mg4Fe3+2Al(SO4)12(H2O)18	Tetragonal	Approved		voltaite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Pertoldite	GeO2	Trigonal	Approved		pertoldite	rutile	copper		oxides
Pertsevite-(F)	Mg2(BO3)F	Orthorhombic	Renamed		pertsevite			monoborates	borates
Pertsevite-(OH)	Mg2(BO3)(OH)	Orthorhombic	Approved		pertsevite			monoborates	borates
Petalite	LiAlSi4O10	Monoclinic	Grandfathered		petalite			phyllosilicates	"silicates 
[sheet]"
Petarasite	Na5Zr2Si6O18(Cl,OH)·2H2O	Monoclinic	Approved		petarasite			cyclosilicates	"silicates 
[cluster]"
Petedunnite	CaZn(Si2O6)	Monoclinic	Approved		diopside	pyroxene		inosilicates	"silicates 
[chain-ribbon]"
Peterandresenite	Mn4[Nb6O19]?14H2O	Monoclinic	Approved		peterandresenite			niobates	oxides
Peterbaylissite	Hg+3(CO3)(OH)·2H2O	Orthorhombic	Approved		peterbaylissite			carbonates	carbonates and nitrates
Peterchinite	Zn3Zn2(OH)6As[O3(OH)3]	Monoclinic	Approved		chlorophoenicite			arsenates	phosphates, arsenates, vanadates
Petermegawite	Al6(Se4+O3)3[SiO3(OH)](OH)9?10H2O	Orthorhombic	Approved		bettertonite			silico-selenites	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Petersenite-(Ce)	Na4Ce2(CO3)5	Monoclinic	Approved		rémondite	burbankite		carbonates	carbonates and nitrates
Petersite-(Ce)	CeCu2+6(PO4)3(OH)6·3H2O	Hexagonal	Approved	petersite	mixite			phosphates	phosphates, arsenates, vanadates
Petersite-(La)	LaCu2+6(PO4)3(OH)6·3H2O	Hexagonal	Approved	petersite	mixite			phosphates	phosphates, arsenates, vanadates
Petersite-(Y)	YCu2+6(PO4)3(OH)6·3H2O	Hexagonal	Renamed	petersite	mixite			phosphates	phosphates, arsenates, vanadates
Petewilliamsite	(Ni,Co,Cu)30(As2O7)15	Monoclinic	Approved		petewilliamsite			polyphosphates, polyarsenates, polyvanadates	phosphates, arsenates, vanadates
Petitjeanite	Bi3+3(PO4)2O(OH)	Triclinic	Approved		preisingerite		copper	phosphates	phosphates, arsenates, vanadates
Pet?í?ekite	CuSe2	Orthorhombic	Approved		marcasite	marcasite	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Petrovicite	Cu3PbHgBiSe5	Orthorhombic	Approved		petrovicite		copper	sulfosalts	sulfides and sulfosalts
Petrovite	Na12Cu2(SO4)8	Monoclinic	Redefined		saranchinaite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Petrovskaite	AuAgS	Monoclinic	Approved		eucairite	eucairite	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Petrukite	(Cu,Ag)2(Fe,Zn)(Sn,In)S4	Orthorhombic	Approved		enargite	greenockite	copper	sulfosalts	sulfides and sulfosalts
Petscheckite	U4+Fe2+(Nb,Ta)2O8	Hexagonal	Approved		liandratite				oxides
Petterdite	PbCr3+2(CO3)2(OH)4·H2O	Orthorhombic	Approved		dundasite			carbonates	carbonates and nitrates
Petzite	Ag3AuTe2	Cubic	Grandfathered		petzite	petzite		sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Pezzottaite	?Cs[LiBe2]Al2[Si6O18]	Trigonal	Approved		beryl			cyclosilicates	"silicates 
[cluster]"
Pharmacoalumite	KAl4(AsO4)3(OH)4·6.5H2O	Cubic	Renamed		pharmacoalumite	pharmacosiderite		arsenates	phosphates, arsenates, vanadates
Pharmacolite	Ca(As5+O3OH)·2H2O	Monoclinic	Grandfathered		pharmacolite	gypsum		arsenates	phosphates, arsenates, vanadates
Pharmacosiderite	KFe3+4(AsO4)3(OH)4·6-7H2O	Cubic	Grandfathered		pharmacosiderite	pharmacosiderite		arsenates	phosphates, arsenates, vanadates
Pharmazincite	KZnAsO4	Hexagonal	Approved		megakalsilite	kalsilite		arsenates	phosphates, arsenates, vanadates
Phaunouxite	Ca3(AsO4)2·11H2O	Triclinic	Approved		rauenthalite			arsenates	phosphates, arsenates, vanadates
Phenakite	Be2(SiO4)	Trigonal	Grandfathered		phenakite		copper	nesosilicates	"silicates 
[cluster]"
Philipsbornite	PbAl3(AsO4)(AsO3OH)(OH)6	Trigonal	Approved		dussertite	alunite	copper	arsenates	phosphates, arsenates, vanadates
Philipsburgite	Cu5Zn(AsO4)(PO4)(OH)6·H2O	Monoclinic	Redefined		kipushite			arseno-phosphates	phosphates, arsenates, vanadates
Phillipsite-Ca	(Ca,Na,K)4[(Si,Al)16O32]·12H2O	Monoclinic	Approved		phillipsite	zeolite		tektosilicates	"silicates 
[framework]"
Phillipsite-K	(K,Na,Ca)4[(Si,Al)16O32]·12H2O	Monoclinic	Renamed		phillipsite	zeolite		tektosilicates	"silicates 
[framework]"
Phillipsite-Na	(Na,K,Ca)4[(Si,Al)16O32]·12H2O	Monoclinic	Approved		phillipsite	zeolite		tektosilicates	"silicates 
[framework]"
Philolithite	Pb12O6Mn(Mg,Mn)2(Mn,Mg)4(SO4)(CO3)4Cl4(OH)12	Tetragonal	Approved		philolithite		copper	carbonates	carbonates and nitrates
Philoxenite	(K,Na,Pb)4(Na,Ca)2(Mg,Cu)3(Fe3+0.5Al0.5)(SO4)8	Triclinic	Approved		philoxenite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Philrothite	TlAs3S5	Monoclinic	Approved		sartorite	sartorite	copper	sulfosalts	sulfides and sulfosalts
Phlogopite	KMg3(AlSi3)O10(OH)2	Monoclinic	Approved	phlogopite	trioctahedral mica	mica		phyllosilicates	"silicates 
[sheet]"
Phoenicochroite	Pb2+2(Cr6+O4)O	Monoclinic	Approved		lanarkite		copper	chromates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Phosgenite	Pb2[(CO3)Cl2]	Tetragonal	Grandfathered		phosgenite			carbonates	carbonates and nitrates
Phosinaite-(Ce)	Na13(Ca,Mn)2(Ce,La,Th,Nd)(Si4O12)(PO4)4	Orthorhombic	Approved		phosinaite	kainosite		cyclosilicates	"silicates 
[cluster]"
Phosphammite	(NH4)2(PO3OH)	Monoclinic	Grandfathered		phosphammite		copper		phosphates, arsenates, vanadates
Phosphocyclite-(Fe)	Fe2+2(P4O12)	Monoclinic	Approved		phosphocyclite			phosphates	phosphates, arsenates, vanadates
Phosphocyclite-(Ni)	Ni2(P4O12)	Monoclinic	Approved		phosphocyclite			phosphates	phosphates, arsenates, vanadates
Phosphoellenbergerite	Mg12(Mg,Fe,?)2[(PO4),(PO3OH),(AsO4)]6[(PO3OH),(CO3)]2(OH)6	Hexagonal	Approved		"phospho
ellenbergerite"			phosphates	phosphates, arsenates, vanadates
Phosphoferrite	Fe2+3(PO4)2·3H2O	Orthorhombic	Redefined	phosphoferrite	phosphoferrite	hureaulite		phosphates	phosphates, arsenates, vanadates
Phosphofibrite	KCu2+Fe3+15(PO4)12(OH)12·12H2O	Orthorhombic	Approved		phosphofibrite	phosphofibrite		phosphates	phosphates, arsenates, vanadates
Phosphogartrellite	Pb[CuFe3+](PO4)2(OH,H2O)2	Triclinic	Approved		phosphogartrellite	vauquelinite		phosphates	phosphates, arsenates, vanadates
Phosphohedyphane	Ca2Pb2+3(PO4)3Cl	Hexagonal	Approved		hedyphane	apatite		phosphates	phosphates, arsenates, vanadates
Phosphoinnelite	Na3Ba4Ti3(Si2O7)2[(PO4),(SO4)]2(O,F)3	Triclinic	Approved		phosphoinnelite			sorosilicates	"silicates 
[cluster]"
Phosphophyllite	Fe2+Zn2(PO4)2·4H2O	Monoclinic	Grandfathered		phosphophyllite	hopeite		phosphates	phosphates, arsenates, vanadates
Phosphorrösslerite	Mg(PO3OH)·7H2O	Monoclinic	Grandfathered		rösslerite	rösslerite			phosphates, arsenates, vanadates
Phosphosiderite	Fe3+(PO4)·2H2O	Monoclinic	Renamed		metavariscite			phosphates	phosphates, arsenates, vanadates
Phosphovanadylite-Ba	Ba[V4+4P2O12(OH)4]·12H2O	Cubic	Renamed		phosphovanadylite	zeolite			phosphates, arsenates, vanadates
Phosphovanadylite-Ca	Ca[V4+4P2O12(OH)4]·12H2O	Cubic	Approved		phosphovanadylite	zeolite			phosphates, arsenates, vanadates
Phosphowalpurgite	Bi4(UO2)(PO4)2O4·2H2O	Triclinic	Approved		walpurgite		copper	uranyl phosphates	phosphates, arsenates, vanadates
Phosphuranylite	KCa(H3O)3(UO2)7(PO4)4O4.8H2O	Orthorhombic	Grandfathered		phosphuranylite	phosphuranylite		uranyl phosphates	phosphates, arsenates, vanadates
Phoxite	(NH4)2Mg2(C2O4)(PO3OH)2(H2O)4	Monoclinic	Approved		phoxite			salts of organic acids	organic compounds
Phuralumite	Al2[(UO2)3(PO4)2]O(OH)(OH)3(H2O)9	Monoclinic	Approved	hügelite	phosphuranylite			uranyl phosphates	phosphates, arsenates, vanadates
Phurcalite	Ca2[(UO2)3O2(PO4)2]·7H2O	Orthorhombic	Approved		phosphuranylite	phosphuranylite		uranyl phosphates	phosphates, arsenates, vanadates
Phylloretine	C18H18	Orthorhombic	Questionable		phylloretine			hydrocarbons	organic compounds
Phyllotungstite	HCaFe3+3(WO4)6·10H2O	Hexagonal	Approved		phyllotungstite		copper	wolframates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Picaite	NaCa[AsO3OH][AsO2(OH)2]	Monoclinic	Approved		picaite			arsenates	phosphates, arsenates, vanadates
Piccoliite	NaCaMn3+2(AsO4)2O(OH)	Orthorhombic	Approved	pilawite	carminite	vauquelinite		arsenates	phosphates, arsenates, vanadates
Pickeringite	MgAl2(SO4)4·22H2O	Monoclinic	Grandfathered		halotrichite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Picotpaulite	TlFe2S3	Orthorhombic	Approved		rasvumite			sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Picromerite	K2Mg(SO4)2·6H2O	Monoclinic	Approved		picromerite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Picropharmacolite	Ca4Mg(AsO4)2(As5+O3OH)2·11H2O	Triclinic	Grandfathered		picropharmacolite			arsenates	phosphates, arsenates, vanadates
Pieczkaite	Mn2+2Mn2+3(PO4)3Cl	Hexagonal	Approved		apatite	apatite		phosphates	phosphates, arsenates, vanadates
Piemontite	(CaCa)(AlAlMn3+)(Si2O7)(SiO4)O(OH)	Monoclinic	Approved		clinozoisite	epidote		sorosilicates	"silicates 
[cluster]"
Piemontite-(Pb)	(CaPb)(AlAlMn3+)(Si2O7)(SiO4)O(OH)	Monoclinic	Approved		clinozoisite	epidote		sorosilicates	"silicates 
[cluster]"
Piemontite-(Sr)	(CaSr)(AlAlMn3+)(Si2O7)(SiO4)O(OH)	Monoclinic	Renamed		clinozoisite	epidote		sorosilicates	"silicates 
[cluster]"
Piergorite-(Ce)	Ca8Ce2AlLiSi6B8O36(OH)2	Monoclinic	Approved		piergorite	hellandite		inosilicates	"silicates 
[chain-ribbon]"
Pierrotite	Tl2(Sb,As)10S16	Orthorhombic	Approved		pierrotite		copper	sulfosalts	sulfides and sulfosalts
Pigeonite	(Mg,Fe,Ca)2(Si2O6)	Monoclinic	Approved		diopside	pyroxene		inosilicates	"silicates 
[chain-ribbon]"
Pigotite	Al4C6H5O10·13H2O	(!)	Questionable		mellite			salts of organic acids	organic compounds
Pilanesbergite	Na2Ca2Fe2+2Ti2(Si2O7)2O2F2	Monoclinic	Approved		wöhlerite			sorosilicates	"silicates 
[cluster]"
Pilawite-(Y)	CaYAl2(SiO4)2O(OH)	Monoclinic	Approved	pilawite	carminite	vauquelinite		nesosilicates	"silicates 
[cluster]"
Pilipenkoite	KCu(AsO4)·H2O	Monoclinic	Approved		pilipenkoite			arsenates	phosphates, arsenates, vanadates
Pillaite	Pb9Sb10S23ClO0.5	Monoclinic	Approved		scainiite	zinkenite	copper	sulfosalts	sulfides and sulfosalts
Pilsenite	Bi4Te3	Trigonal	Redefined		joséite	tetradymite		sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Pinakiolite	Mn3+Mg2O2(BO3)	Monoclinic	Grandfathered	pinakiolite	pinakiolite	ludwigite		monoborates	borates
Pinalite	Pb3(W6+O4)OCl2	Orthorhombic	Approved		nadorite		copper	oxyhalides, hydroxyhalides	halides
Pinchite	Hg2+5O4Cl2	Orthorhombic	Approved		terlinguaite	terlinguaite	copper	oxyhalides, hydroxyhalides	halides
Pingguite	Bi3+6Te6+2O15	Orthorhombic	Redefined		bixbyite		copper	arsenites, antimonites, bismuthites, sulfites, selenites, tellurites	oxides
Pinnoite	Mg[B2O(OH)6]	Tetragonal	Grandfathered		pinnoite			diborates	borates
Pintadoite	Ca2(V5+2O7)·9H2O	(!)	Questionable		pintadoite		diphosphates	polyphosphates, polyarsenates, polyvanadates	phosphates, arsenates, vanadates
Piretite	Ca[(UO2)3(SeO3)2(OH)4]·4H2O	Orthorhombic	Approved		guilleminite	guilleminite		uranyl selenites	oxides
Pirquitasite	Ag2ZnSnS4	Tetragonal	Approved		stannite		copper	sulfosalts	sulfides and sulfosalts
Pirssonite	Na2Ca(CO3)2·2H2O	Orthorhombic	Grandfathered		pirssonite	pirssonite		carbonates	carbonates and nitrates
Písekite-(Y)	(Y,As,Ca,Fe,U)[(Nb,Ti,Ta)O4]	Monoclinic	Questionable		písekite		copper		oxides
Pitiglianoite	Na6K2[Al6Si6O24](SO4)·2H2O	Hexagonal	Approved	cancrinite	cancrinite	cancrinite		tektosilicates	"silicates 
[framework]"
Pitticite	Fe3+x(AsO4)y(SO4)z·nH2O	Not crystalline	Questionable		pitticite			sulfoarsenates	phosphates, arsenates, vanadates
Pittongite	(Na,H2O)0.7(W,Fe3+)(O,OH)3	Hexagonal	Approved		pittongite		copper		oxides
Piypite	K8Cu9O4(SO4)8Cl2	Tetragonal	Approved		piypite		copper	sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Pizgrischite	(Cu,Fe)Cu14PbBi17S35	Monoclinic	Approved		cuprobismutite		copper	sulfosalts	sulfides and sulfosalts
Plagionite	Pb5Sb8S17	Monoclinic	Grandfathered		plagionite		copper	sulfosalts	sulfides and sulfosalts
Plancheite	Cu2+8(Si4O11)2(OH)4·H2O	Orthorhombic	Redefined	plancheite	plancheite			inosilicates	"silicates 
[chain-ribbon]"
Planerite	?Al3(PO4)2(OH)3·2H2O	Triclinic	Redefined	turquoise	turquoise			phosphates	phosphates, arsenates, vanadates
Plá?ilite	Na(UO2)(SO4)(OH)·2H2O	Monoclinic	Approved		johannite			uranyl sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Platinum	Pt	Cubic	Grandfathered		copper	copper	copper	metals and intermetallic alloys	elements
Plattnerite	Pb4+O2	Tetragonal	Grandfathered		rutile	rutile	copper		oxides
Plavnoite	K0.8Mn0.6[(UO2)2O2(SO4)](H2O)3.5	Monoclinic	Approved		zippeite			uranyl sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Playfairite	Pb16(Sb,As)19S44Cl	Monoclinic	Approved		sartorite	sartorite	copper	sulfosalts	sulfides and sulfosalts
Pleysteinite	[(H2O)K]2Mn2+2Al3(PO4)4F2(H2O)10?4H2O	Orthorhombic	Redefined		paulkerrite			phosphates	phosphates, arsenates, vanadates
Plimerite	Zn2+2Fe3+3[PO3.67(OH)0.33]3(OH)5	Orthorhombic	Redefined		rockbridgeite			phosphates	phosphates, arsenates, vanadates
Pliniusite	Ca2Ca3(VO4)3F	Hexagonal	Approved		apatite	apatite		vanadates	phosphates, arsenates, vanadates
Plombièrite	[Ca4Si6O16(OH)2?2H2O]?(Ca?5H2O)	Orthorhombic	Grandfathered		plombièrite	tobermorite		inosilicates	"silicates 
[chain-ribbon]"
Plumboagardite	PbCu2+6[AsO3(O2/3(OH)1/3)]3(OH)6·3H2O	Hexagonal	Approved	mixite	mixite			arsenates	phosphates, arsenates, vanadates
Plumboferrite	Pb2(Fe3+10.67Mn2+0.33Pb)?=12O18.33	Hexagonal	Grandfathered		magnetoplumbite	magnetoplumbite	copper		oxides
Plumbogaidonnayite	PbZr[Si3O9]·2H2O	Orthorhombic	Approved	catapleiite	catapleiite			inosilicates	"silicates 
[chain-ribbon]"
Plumbogummite	PbAl3(PO4)(PO3OH)(OH)6	Trigonal	Redefined		plumbogummite	alunite	copper	phosphates	phosphates, arsenates, vanadates
Plumbojarosite	(Pb2+0.25?0.25)Fe3+3(SO4)2(OH)6	Trigonal	Redefined	alunite	alunite	alunite	copper	sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Plumbonacrite	Pb5(CO3)3O(OH)2	Hexagonal	Redefined		hydrocerussite		copper	carbonates	carbonates and nitrates
Plumbopalladinite	Pd3Pb2	Hexagonal	Approved		stannopalladinite	greenockite	copper	metals and intermetallic alloys	elements
Plumboperloffite	PbMn2+2Fe3+2(PO4)3(OH)3	Monoclinic	Approved		bjarebyite			phosphates	phosphates, arsenates, vanadates
Plumbopharmacosiderite	Pb0.5Fe3+4(AsO4)3(OH)4·5H2O	Cubic	Approved		pharmacosiderite	pharmacosiderite		arsenates	phosphates, arsenates, vanadates
Plumbophyllite	Pb2Si4O10·H2O	Orthorhombic	Approved		plumbophyllite	apophyllite		phyllosilicates	"silicates 
[sheet]"
Plumboselite	Pb2+3O2(Se4+O3)	Orthorhombic	Approved		plumboselite		copper	selenites	oxides
Plumbotellurite	Pb2+Te4+O3	Monoclinic	Approved		plumbotellurite			arsenites, antimonites, bismuthites, sulfites, selenites, tellurites	oxides
Plumbotsumite	Pb13(CO3)6(Si10O27)·3H2O	Orthorhombic	Redefined		plumbotsumite			unclassified silicates	silicates
Plumosite	Pb2Sb2S5	Orthorhombic	Questionable		kobellite	kobellite	copper	sulfosalts	sulfides and sulfosalts
Podlesnoite	BaCa2(CO3)2F2	Orthorhombic	Approved		podlesnoite			carbonates	carbonates and nitrates
Poellmannite	Ca6Al3(OH)18[Na(H2O)6](SO4)2·6H2O	Trigonal	Approved		wermlandite	hydrotalcite		sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Pohlite	Pb7(I5+O3)(OH)4Cl9	Triclinic	Approved		pohlite			iodates	oxides
Poirierite	Mg2(SiO4)	Orthorhombic	Approved		poirierite			nesosilicates	"silicates 
[cluster]"
Poitevinite	Cu2+(SO4)·H2O	Triclinic	Approved		kieserite	titanite		sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Pokhodyashinite	Cu+2Tl+3Sb3+5As3+2S13	Monoclinic	Approved		pokhodyashinite			sulfosalts	sulfides and sulfosalts
Pokrovskite	MgMg(CO3)(OH)2	Monoclinic	Approved	malachite	malachite			carbonates	carbonates and nitrates
Polarite	PdBi	Orthorhombic	Approved		nickeline	nickeline	copper	metal / metalloids alloys	sulfides and sulfosalts
Poldervaartite	Ca(Ca,Mn2+)[SiO3(OH)](OH)	Orthorhombic	Approved		poldervaartite			nesosilicates	"silicates 
[cluster]"
Polekhovskyite	Mo5+Ni4+P2	Hexagonal	Approved		polekhovskyite			metal carbides, silicides, nitrides and phosphides	elements
Polezhaevaite-(Ce)	NaSrCeF6	Hexagonal	Approved		gagarinite		copper	fluorohalides	halides
Polhemusite	(Zn,Hg)S	Tetragonal	Approved		renierite		copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Polkanovite	Rh12As7	Hexagonal	Approved		polkanovite			metal / metalloids alloys	sulfides and sulfosalts
Polkovicite	(Fe,Pb)3(Ge,Fe)1-xS4	Cubic	Approved		germanite		copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Polloneite	AgPb46As26Sb23S120	Monoclinic	Approved		sartorite	sartorite	copper	sulfosalts	sulfides and sulfosalts
Pollucite	(Cs,Na)16Al16Si32O96·nH2O	Orthorhombic	Approved		analcime	zeolite		tektosilicates	"silicates 
[framework]"
Polyakovite-(Ce)	Ce4MgCr3+2Ti4+2O8(Si2O7)2	Monoclinic	Approved		chevkinite	chevkinite	copper	sorosilicates	"silicates 
[cluster]"
Polyarsite	Na7CaMgCu2(AsO4)4F2Cl	Monoclinic	Approved		polyarsite			arsenates	phosphates, arsenates, vanadates
Polybasite	[Ag9CuS4][(Ag,Cu)6(Sb,As)2S7] 	Monoclinic	Redefined	polybasite	polybasite			sulfosalts	sulfides and sulfosalts
Polydymite	Ni2+Ni3+2S4	Cubic	Grandfathered	linnaeite (2-3)	thiospinel	spinel	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Polyhalite	K2Ca2Mg(SO4)4·2H2O	Triclinic	Grandfathered		polyhalite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Polylithionite	K(Li2Al)Si4O10F2	Monoclinic	Approved	phlogopite	trioctahedral mica	mica		phyllosilicates	"silicates 
[sheet]"
Polyphite	Na6(Na4Ca2)2Na2Ti2Na2Ti2(Si2O7)2(PO4)6O4F4	Triclinic	Approved		murmanite	seidozerite		sorosilicates	"silicates 
[cluster]"
Pomite	Ca3[V4+5V5+10O37(CO3)]?37H2O	Triclinic	Approved		pomite			carbonate-sorovanadates	oxides
Ponomarevite	K4Cu2+4OCl10	Monoclinic	Approved		ponomarevite		copper	oxyhalides, hydroxyhalides	halides
Popovite	[Cu2+5O2](AsO4)2	Triclinic	Approved		popovite	georgbokiite	copper	arsenates	phosphates, arsenates, vanadates
Poppiite	Ca2V3+V3+2(SiO4)(Si2O7)[(OH)O]2·H2O 	Monoclinic	Approved		pumpellyite			sorosilicates	"silicates 
[cluster]"
Popugaevaite	Ca3[B5O6](OH)6]FCl2·8H2O	Monoclinic	Approved		brianroulstonite			dodecaborates	borates
Portlandite	Ca(OH)2	Trigonal	Grandfathered		brucite			hydroxides	oxides
Po?epn?ite	(Cu+3?3)(Cu+2Hg2+4)Sb4Se12(Se0.5?0.5)	Cubic	Approved	po?epn?ite series	tetrahedrite	tetrahedrite	copper	sulfosalts	sulfides and sulfosalts
Posnjakite	[Cu2+4(SO4)(OH)6(H2O)]	Monoclinic	Approved		langite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Postite	Mg(H2O)6Al2(OH)2(H2O)8[V5+10O28]·13H2O	Orthorhombic	Approved		pascoite	pascoite		sorovanadates	oxides
Potarite	PdHg	Tetragonal	Grandfathered		potarite	tetraferroplatinum		metals and intermetallic alloys	elements
Potassic-arfvedsonite	KNa2(Fe2+4Fe3+)Si8O22(OH)2	Monoclinic	Redefined	sodium amphibole	hydroxy-fluoro-chloro-amphibole	amphibole		inosilicates	"silicates 
[chain-ribbon]"
Potassic-chloro-hastingsite	KCa2(Fe2+4Fe3+)(Si6Al2)O22Cl2	Monoclinic	Redefined	calcium amphibole	hydroxy-fluoro-chloro-amphibole	amphibole		inosilicates	"silicates 
[chain-ribbon]"
Potassic-chloro-pargasite	KCa2(Mg4Al)(Si6Al2)O22Cl2	Monoclinic	Redefined	calcium amphibole	hydroxy-fluoro-chloro-amphibole	amphibole		inosilicates	"silicates 
[chain-ribbon]"
Potassic-ferri-leakeite	KNa2(Mg2Fe3+2Li)Si8O22(OH)2	Monoclinic	Redefined	sodium amphibole	hydroxy-fluoro-chloro-amphibole	amphibole		inosilicates	"silicates 
[chain-ribbon]"
Potassic-ferro-ferri-sadanagaite	KCa2(Fe2+3Fe3+2)(Si5Al3)O22(OH)2	Monoclinic	Redefined	calcium amphibole	hydroxy-fluoro-chloro-amphibole	amphibole		inosilicates	"silicates 
[chain-ribbon]"
Potassic-ferro-ferri-taramite	K(NaCa)(Fe2+3Fe3+2)(Si6Al2)O22(OH)2	Monoclinic	Redefined	sodium-calcium amphibole	hydroxy-fluoro-chloro-amphibole	amphibole		inosilicates	"silicates 
[chain-ribbon]"
Potassic-ferro-pargasite	KCa2(Fe2+4Al)(Si6Al2)O22(OH)2	Monoclinic	Redefined	calcium amphibole	hydroxy-fluoro-chloro-amphibole	amphibole		inosilicates	"silicates 
[chain-ribbon]"
